#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
789921,-915210.1401697313,180262.73105670398,-734947.4091130274,298.6579127693711,697.4667872189923,97.5
793254,-915932.3871218767,180092.68167895498,-735839.7054429217,298.3761762621711,697.3629108676404,97.5
796587,-916098.8693882935,178077.74747157493,-738021.1219167185,295.03784869320486,698.6539399606055,97.5
799920,-916719.4771077344,180059.09800039348,-736660.3791073409,298.3205350806384,698.3947699497079,97.5
803253,-915899.4259466231,180167.75995463232,-735731.6659919908,298.5005653745332,696.2469313324618,97.5
806586,-915337.4356317297,180526.34482223215,-734811.0908094975,299.09466603793857,697.3214066679715,97.5
809919,-916253.168103273,180826.88079691026,-735426.2873063628,299.59259173995866,698.4378657584913,97.5
813252,-916417.0911456067,179674.23699421203,-736742.8541513947,297.68290031199444,696.674752285797,97.5
816585,-916977.331445409,181093.74069995995,-735883.5907454491,300.0347231843202,699.5325986098202,97.5
819918,-915841.9234336475,180035.74896790675,-735806.1744657408,298.2818505823687,696.9062608231193,97.5
823251,-916178.4435913432,177818.42618262986,-738360.0174087133,294.60820716697816,697.0076245239527,97.5
826584,-915780.7340495447,180380.9800368305,-735399.7540127141,298.85382677436075,695.9617918803469,97.5
829917,-915537.33322406,179438.21347131935,-736099.1197527407,297.29185834620165,698.8683952156734,97.5
833250,-917349.0019360101,178493.34746690164,-738855.6544691084,295.72641158373494,695.890078179811,97.5
